id,title,content
D01,Python Programming for Beginners,"Python programming fundamentals, syntax, variables, functions, loops and beginner coding concepts."
D02,Machine Learning Fundamentals,"Machine learning introduces supervised learning, unsupervised learning, classification, regression and predictive analytics."
D03,Natural Language Processing Guide,"Natural Language Processing enables computers to understand, process and analyze human language, text and speech."
D04,Java Programming Tutorial,"Java programming covers object oriented programming, classes, objects, inheritance, methods and application development."
D05,Artificial Intelligence Research,"Artificial Intelligence includes intelligent systems, machine learning, reasoning, computer vision and automated decision making."
D06,Python Snake Habitat,"Python snakes are large non venomous reptiles found in forests, grasslands, wetlands and tropical environments."
D07,Apple Nutrition Benefits,"Apples are nutritious fruits containing fiber, vitamins, minerals and antioxidants and can be part of a healthy diet."
D08,Apple Smartphone Technology,"Apple smartphones include mobile processors, cameras, operating systems, applications, wireless communication and modern smartphone technology."
D09,Web Development Course,"Web development includes HTML, CSS, JavaScript, responsive design and website application development."
D10,Data Science Introduction,"Data science combines statistics, programming, machine learning, data analysis and visualization to extract useful insights."
D11,Deep Learning Fundamentals,"Deep learning uses neural networks with multiple layers for image recognition, language processing and complex pattern recognition."
D12,Database Management Systems,"Database management systems store, organize and retrieve structured data using database technologies and SQL."
